medallion,hack_license,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance
2010000061,2010000061,CMT,1/1/2010 0:00,1/1/2010 0:06,2,5.37,1
2010000062,2010000062,CMT,1/1/2010 0:00,1/1/2010 0:06,1,5.3,0.8
2010000063,2010000063,CMT,1/1/2010 0:00,1/1/2010 0:15,1,14.42,2
2010000064,2010000064,CMT,1/1/2010 0:00,1/1/2010 0:06,1,5.92,1.4
2010000065,2010000065,CMT,1/1/2010 0:00,1/1/2010 0:12,2,11.83,3
2010000066,2010000066,CMT,1/1/2010 0:00,1/1/2010 0:12,4,11.33,2.3
2010000067,2010000067,CMT,1/1/2010 0:00,1/1/2010 0:03,1,2.6,0.7
2010000068,2010000068,VTS,1/1/2010 0:01,1/1/2010 0:37,1,36,18.6
2010000069,2010000069,CMT,1/1/2010 0:01,1/1/2010 0:09,1,8.25,1.3
2010000070,2010000070,VTS,1/1/2010 0:01,1/1/2010 0:22,1,21,7.02
2010000071,2010000071,VTS,1/1/2010 0:01,1/1/2010 0:24,1,23,6.23
2010000072,2010000072,VTS,1/1/2010 0:01,1/1/2010 0:20,1,19,3.45
2010000073,2010000073,VTS,1/1/2010 0:01,1/1/2010 0:01,1,0,0
2010000074,2010000074,VTS,1/1/2010 0:01,1/1/2010 0:26,2,25,11.73
2010000075,2010000075,VTS,1/1/2010 0:01,1/1/2010 0:55,1,54,15.76
2010000076,2010000076,VTS,1/1/2010 0:01,1/1/2010 0:30,1,29,5.35
2010000077,2010000077,VTS,1/1/2010 0:01,1/1/2010 0:11,2,10,1.58
2010000078,2010000078,VTS,1/1/2010 0:01,1/1/2010 0:08,1,7,0.73
2010000079,2010000079,VTS,1/1/2010 0:01,1/1/2010 0:27,2,26,12.06
2010000080,2010000080,VTS,1/1/2010 0:01,1/1/2010 1:00,1,59,14.25
2010000081,2010000081,VTS,1/1/2010 0:01,1/1/2010 0:17,1,16,5.09
2010000082,2010000082,CMT,1/1/2010 0:01,1/1/2010 0:05,1,4.9,1.8
2010000083,2010000083,CMT,1/1/2010 0:01,1/1/2010 0:11,2,10.9,2.3
2010000084,2010000084,CMT,1/1/2010 0:01,1/1/2010 0:09,3,8.03,1.2
2010000085,2010000085,DDS,1/1/2010 0:01,1/1/2010 0:14,1,13.46,2.6
2010000086,2010000086,CMT,1/1/2010 0:01,1/1/2010 0:26,2,24.97,6.6
2010000087,2010000087,CMT,1/1/2010 0:01,1/1/2010 0:17,1,16.43,6
2010000088,2010000088,CMT,1/1/2010 0:01,1/1/2010 0:07,1,6.63,1.8
2010000089,2010000089,CMT,1/1/2010 0:01,1/1/2010 0:21,1,20.63,8.6
2010000090,2010000090,VTS,1/1/2010 0:01,1/1/2010 0:01,2,0,0.38
2010000091,2010000091,VTS,1/1/2010 0:01,1/1/2010 0:01,2,0,0.23
2010000092,2010000092,CMT,1/1/2010 0:01,1/1/2010 0:15,1,14.42,3.6
2010000093,2010000093,CMT,1/1/2010 0:01,1/1/2010 0:09,4,8.6,1.1
2010000094,2010000094,DDS,1/1/2010 0:01,1/1/2010 0:19,1,18.78,1.4
2010000095,2010000095,CMT,1/1/2010 0:01,1/1/2010 0:23,2,22.68,9.1
2010000096,2010000096,CMT,1/1/2010 0:01,1/1/2010 0:34,1,33.03,18.8
2010000097,2010000097,CMT,1/1/2010 0:01,1/1/2010 0:14,2,13.4,2.9
2010000098,2010000098,CMT,1/1/2010 0:01,1/1/2010 0:06,2,4.98,1
2010000099,2010000099,CMT,1/1/2010 0:01,1/1/2010 0:19,1,18.4,3.4
2010000100,2010000100,CMT,1/1/2010 0:01,1/1/2010 0:10,1,8.95,1.1
2010000101,2010000101,CMT,1/1/2010 0:01,1/1/2010 0:06,1,5.27,0.6
